Elemental Beam,Action,1,3,Choose a space in Range 1. Deal 3 Damage,3,,,,,,,,,,,,,
Quickfire,Action,1,2,Deal 1 damage in Range 2‚ 4 times,2,,,,,,,,,,,,,
Magic Bolt,Action,1,3,Choose a space in Range 1‚ and one in Range 2‚ that are adjacent. Deal 2 damage to all entities on those spaces,2,,,,,,,,,,,,,
Small Gang,Ally,1,2,Engage: Deal 2 damage in range 1,2,3,,2 Item slots,,,,,,,,,,
Brass Knuckles,Item - Equipment,1,2,Attach to an ally: Any time they deal damage‚ they deal more damage,2,,,,,,,,,,,,,
Cleric,Ally,2,5,Engage: Gain +4 health‚ or heal an ally for 4 health,1,5,,1 item slot,Tier 2,,,,,,,,,
Treasure Chest,Item - Consumable,2,5,Gain +3 coin or Trash this to gain +5 coin and +1 movement,1,,,,,,,,,,,,,
Mage,Ally,2,5,Engage: Draw 1 card,1,4,,1 item slot,,,,,,,,,,
Adrenaline Potion,Item - Consumable,2,3,Gain 1 move and draw 1 card or Trash to draw 2 and move 2,1,,,,,`,,,,,,,,
Barricade,Item - Trap,2,5,Place on space in Range 2. Neither players nor monster can move onto this space.,1,6,,,,,,,,,,,,
Forward March,Action,2,4,Move up to 2 spaces away immediately. Deal 2 damage in Range 2. Gain 1 movement,1,N/A,,,,,,,,,,,,
Sprint,Action,2,4,Gain 4 Movement,1,,,,,,,,,,,,,
Knight,Ally,2,5,Engage: Deal 4 damage in range 2,1,7,,2 item slots,,,,,,,,,,
Merchant,Ally,2,5,Engage: Gain +4 coins,1,4,,1 item slot,,,,,,,,,,
Longshot,Action,2,4,Deal 3 damage in Range 4 twice,1,,,,,,,,,,,,,
New Opportunity,Action,2,5,Gain 3 coin and draw 1,1,,,,,,,,,,,,,
Efficiency,Action,2,4,Trash a card from your item slot or discard. Gain +2 coin,4,,,,,,,,,,,,,
Scope,Item - Equipment,2,3,Attach to an Ally: Any time they deal damage‚ they have 2 extra Range,1,,,,,,,,,,,,,
Hasteful Hex,Dark Magic,2,5,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any monster that can move‚ that monster moves 1-3 spaces. That monster must end no further from the kingdom.,1,N/A,,,,,,,,,,,,
Bloody Curse,Dark Magic,2,5,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any monster that can attack: it attacks units of your choice within range. It must attack at least one unit.,1,N/A,,,,,,,,,,,,
Indecisive Omen,Dark Magic,2,5,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any monster: that monster either moves 1 space or attacks all in range. The monster must end no further from the Kingdom.,1,N/A,,,,,,,,,,,,
Dark Summons,Dark Magic,2,5,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Spawn 1-3 monsters of your choice. You may ignore the monsters spawning locations and choose for it to spawn at any monster spawning location.,1,N/A,,,,,,,,,,,,
Holy Amulet,Item - Consumable,2,4,Gain +1 health‚ or Trash to discard all cards in your draw pile and trash any Dark Magic card.,2,N/A,,,,,,,,,,,,
Bolts of Lightning,Action,2,5,Choose 2 adjacent spaces within Range 2. Deal 4 damage to every entity on those spaces.,3,N/A,,,,,,,,,,,,
Fire wall,Action,2,4,Choose 3 adjacent spaces in Range 2. Deal 2 damage to all entities on those spaces,2,,,,,,,,,,,,,
Spellslinger,Ally,2,5,Engage: Choose a space in range 3‚ deal 2 damage to all entities on that space,2,5,,1 item slot,,,,,,,,,,
Repelling Shield,Item - Equipment,3,6,Attach to an Ally to gain the following ability: Players can only move onto your space with your permission,1,N/A,Tier 3,,,,,,,,,,,
Spider Mastery,Dark Magic,3,8,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any Spider. It can make any combination of moves and attacks‚ up to three times in total. It does not need to end closer to the Kingdom.,1,N/A,,,,,,,,,,,,
Skeleton Mastery,Dark Magic,3,8,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any Skeleton. It can make any combination of moves and attacks‚ up to three times in total. It does not need to end closer to the Kingdom.,1,N/A,,,,,,,,,,,,
Spirit Mastery,Dark Magic,3,8,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any Spirit. It can make any combination of moves and attacks‚ up to three times in total. It does not need to end closer to the Kingdom.,1,N/A,,,,,,,,,,,,
Warrior Mastery,Dark Magic,3,8,When you gain this card: You may discard all cards not in your draw pile. If you do so‚ trash any Dark Magic card. Choose any Warrior. It can make any combination of moves and attacks‚ up to three times in total. It does not need to end closer to the Kingdom.,1,N/A,,,,,,,,,,,,
Lost Ruins,Action,3,7,Gain +4 coin and +3 movement,1,,,,,,,,,,,,,
Research Magic,Action,3,7,Draw 2 cards,1,,,,,,,,,,,,,
Bombardment,Action,3,8,Deal 6 damage in Range 5,1,,,,,,,,,,,,,
Paladin,Ally,3,7,Engage: Deal 6 damage in Range 2. Deal 3 damage to another target in Range 2 if possible,1,9,,2 item slots,,,,,,,,,,
Wagon,Ally,3,6,Engage: Gain +3 movement,1,5,,0 item slots,,,,,,,,,,
Dragons Hoard,Action,3,7,Gain +6 Coin,1,,,,,,,,,,,,,
Outpost,Item - Trap,3,7,Place in Range 1. Enemies cannot move onto this space. If an Enemy would end their turn in range 1 of this trap‚ they take 3 damage,1,8,,,,,,,,,,,,
Refine,Action,3,6,Trash 2 cards from your hand or discard. Gain +2 coin,4,,,,,,,,,,,,,
Arc of Power,Action,3,7,Deal 8 Damage‚ distributing them to monsters within Range 1 as you choose.,2,,,,,,,,,,,,,
Fireball,Action,3,6,Deal 3 Damage to all monsters and other players in Range 1.,3,,,,,,,,,,,,,
Aura sword,Item - Equipment,3,6,Attach to an Ally: Gain +1 reach‚ +2 max health‚ and +2 damage to any damage abilities,1,,,,,,,,,,,,,
Crystal Ball,Item - equipment,3,7,Attach to an Ally of tier 2 or higher: Whenever this ally engages‚ draw a card.,1,,,,,,,,,,,,,
Holy Grail,Item - consumable,3,7,Gain +5 health OR trash this to heal to full.,1,,,,,,,,,,,,,
Monster Approaches,Dark Magic,0,0,Spawn one monster. The monsters type is determined by whichever monster type has the fewest monsters on the board.,1,N/A,(per player),Gained from event deck,Special,,,,,,,,,
Curse of the Favored,Dark Magic,0,0,All monsters who can attack you do so. If a player has more favor than you� they gain this card.,1,N/A,,Gained from event deck,,,,,,,,,,
